dataset,function,dimension,n_runs,best,worst,mean,std
Leader,F102022,10,30,-102.63607486233877,2777.7887535784203,2204.7025068815824,737.8733990319139
Leader,F112022,10,30,2602.529647254937,3622.3092302123973,2681.2160541576636,193.09174845023148
Leader,F12022,10,30,395.5477509903427,4571.696697769733,1156.7582938043734,1161.8804107839878
Leader,F122022,10,30,2823.611601976406,3046.3585501474204,2902.9134950804773,46.16795807578209
Leader,F22022,10,30,401.72516023909833,632.3987813949327,463.8428491959852,58.45902523804736
Leader,F32022,10,30,600.000393603269,600.3176977749879,600.0299586042347,0.059192307845416625
Leader,F42022,10,30,820.0000005046542,870.6484134925411,844.4681892738739,12.454143278254161
Leader,F52022,10,30,900.1151037875163,902.1233986511054,900.9619632628039,0.5728134625471372
Leader,F62022,10,30,12365.173227250825,64695.48440808353,28931.32652535044,12085.716811296794
Leader,F72022,10,30,2026.8317294963676,2253.515654954602,2118.8543025040517,51.35159898482348
Leader,F82022,10,30,2237.0690330347297,4138.282404615684,2794.2251132746114,657.1707796758135
Leader,F92022,10,30,2305.5812378790847,2965.118248929973,2626.7224679930628,239.39711278967798
Levy,F102022,10,30,281.6336640087343,2759.669557290246,2087.198261229105,745.1728086272693
Levy,F112022,10,30,2601.0133366744294,3552.3676605327064,2654.7935594688906,174.96848992300335
Levy,F12022,10,30,354.1686019031217,3079.3969559296006,821.7499965670754,802.6042087539636
Levy,F122022,10,30,2817.517236191433,3035.5406969742367,2885.800603214093,39.10582851160335
Levy,F22022,10,30,401.4931971194678,545.8759693501972,455.4259429118757,38.26301735100361
Levy,F32022,10,30,600.0000984839523,600.0129216214749,600.0024858583745,0.003629854932855533
Levy,F42022,10,30,820.0000000132211,876.0,844.4841566642455,13.24429432735313
Levy,F52022,10,30,900.1005941634116,901.8281611762865,900.8937721560375,0.5738626398380967
Levy,F62022,10,30,11625.056978245566,65573.5306050599,31640.90213858774,12498.366351854776
Levy,F72022,10,30,2024.8776447278838,2251.244881899848,2116.6568443389992,58.829206570842
Levy,F82022,10,30,2232.206536458226,4013.3039730777164,2688.7238846746027,513.0175999563014
Levy,F92022,10,30,2305.154549298514,3013.131410940502,2553.084339706812,240.7070916131901
